종목,시세,등락률,시가총액,거래량
포스코케미칼,"215,500",-0.92,"166,933","572,471"
SK이노베이션,"155,100",-0.89,"143,414","371,919"
삼성전자,"61,300",-1.13,"3,659,477","10,134,614"
LG에너지솔루션,"511,000",0.79,"1,195,740","238,037"
SK하이닉스,"91,000",-1.83,"662,482","2,337,566"
삼성바이오로직스,"783,000",-0.76,"557,292","38,753"
LG화학,"669,000",0.15,"472,263","144,188"
삼성SDI,"680,000",-0.15,"467,599","198,354"
삼성전자우,"54,500",-1.09,"448,473","647,118"
현대차,"173,900",-1.31,"367,853","359,493"
NAVER,"208,000",-2.58,"341,222","846,827"
기아,"75,300",-1.44,"305,239","974,422"
카카오,"61,800",-1.12,"275,328","1,327,089"
POSCO홀딩스,"322,000",-2.87,"272,319","759,055"
셀트리온,"149,300",0.20,"210,243","480,877"
삼성물산,"112,400",-0.62,"210,061","222,263"
KB금융,"50,700",1.40,"207,311","1,347,535"
현대모비스,"219,000",0.69,"206,484","171,495"
신한지주,"38,750",0.26,"197,154","1,202,041"
LG전자,"113,400",-1.13,"185,577","709,230"
포스코케미칼,"215,500",-0.92,"166,933","572,471"
SK이노베이션,"155,100",-0.89,"143,414","371,919"
삼성전자,"61,300",-1.13,"3,659,477","10,134,614"
LG에너지솔루션,"511,000",0.79,"1,195,740","238,037"
SK하이닉스,"91,000",-1.83,"662,482","2,337,566"
삼성바이오로직스,"783,000",-0.76,"557,292","38,753"
LG화학,"669,000",0.15,"472,263","144,188"
삼성SDI,"680,000",-0.15,"467,599","198,354"
삼성전자우,"54,500",-1.09,"448,473","647,118"
현대차,"173,900",-1.31,"367,853","359,493"
NAVER,"208,000",-2.58,"341,222","846,827"
기아,"75,300",-1.44,"305,239","974,422"
카카오,"61,800",-1.12,"275,328","1,327,089"
POSCO홀딩스,"322,000",-2.87,"272,319","759,055"
셀트리온,"149,300",0.20,"210,243","480,877"
삼성물산,"112,400",-0.62,"210,061","222,263"
KB금융,"50,700",1.40,"207,311","1,347,535"
현대모비스,"219,000",0.69,"206,484","171,495"
신한지주,"38,750",0.26,"197,154","1,202,041"
LG전자,"113,400",-1.13,"185,577","709,230"
포스코케미칼,"215,500",-0.92,"166,933","572,471"
SK이노베이션,"155,100",-0.89,"143,414","371,919"
삼성전자,"61,300",-1.13,"3,659,477","10,134,614"
LG에너지솔루션,"511,000",0.79,"1,195,740","238,037"
SK하이닉스,"91,000",-1.83,"662,482","2,337,566"
삼성바이오로직스,"783,000",-0.76,"557,292","38,753"
LG화학,"669,000",0.15,"472,263","144,188"
삼성SDI,"680,000",-0.15,"467,599","198,354"
삼성전자우,"54,500",-1.09,"448,473","647,118"
현대차,"173,900",-1.31,"367,853","359,493"
NAVER,"208,000",-2.58,"341,222","846,827"
기아,"75,300",-1.44,"305,239","974,422"
카카오,"61,800",-1.12,"275,328","1,327,089"
POSCO홀딩스,"322,000",-2.87,"272,319","759,055"
셀트리온,"149,300",0.20,"210,243","480,877"
삼성물산,"112,400",-0.62,"210,061","222,263"
KB금융,"50,700",1.40,"207,311","1,347,535"
현대모비스,"219,000",0.69,"206,484","171,495"
신한지주,"38,750",0.26,"197,154","1,202,041"
LG전자,"113,400",-1.13,"185,577","709,230"
포스코케미칼,"215,500",-0.92,"166,933","572,471"
SK이노베이션,"155,100",-0.89,"143,414","371,919"
